ROOMNAME,SIZE,SUBFREE,QUIET,MENS,WOMENS,NUMSUSED,AVGNUM,STDEV,HALL,ROOMNUM
ALLE 101,'',false,false,'','',103;152;168;51;50;187;141;152;263;165,143.2,60.2690633742,Allen House,101
ALLE 102,'',false,false,'','',108;234;363;54;60;170;143;173;252;170,172.7,88.3934952358,Allen House,102
ALLE 107A,2,false,false,'','',70;316;228;399;49;409;123;218;390;80,228.2,136.390468875,Allen House,107A
ALLE 108,1,false,false,'','',122;67;243;274;43;112;85;131;213;157;104,141,70.3368518436,Allen House,108
ALLE 201,'',false,false,'','',111;241,176,65,Allen House,201
ALLE 203,1,false,false,'','',123;285;118,175.333333333,77.5729047771,Allen House,203
ALLE 204A,'',false,false,'','',272;91;364;112;42;115;97,156.142857143,107.596373507,Allen House,204A
ALLE 204B,'',false,false,'','',39;93,66,27,Allen House,204B
ALLE 206,1,false,false,'','',68;75;101;320;91;106;148;135;147;156;51,127.090909091,69.6542820526,Allen House,206
ALLE 207,2,false,false,'','',396;289;366;331;589;415;165;181;327,339.888888889,120.275096198,Allen House,207
ALLE 208,'',false,false,'','',374;406;383;338;411;423;442;359,392,32.4576647342,Allen House,208
BRKS 100A,'',false,false,'','',61;25;20;20;21;69,36,20.704266871,Brooks,100A
BRKS 100B,'',false,false,'','',22;23;34,26.3333333333,5.43650214343,Brooks,100B
BRKS 200B,'',false,false,'','',15;18;18;19;19;14;22;18;32;58,23.3,12.4823875921,Brooks,200B
BURT 103,1,false,false,'','',182;123;218;98;242;217;167;169;128,171.555555556,45.9301670682,Burton Hall,103
BURT 106A,2,false,false,'','',152;347;201;197;358;321,262.666666667,81.6142689049,Burton Hall,106A
BURT 108,'',false,false,'','',85;115;260;57,129.25,78.225235698,Burton Hall,108
BURT 109,1,false,false,'','',128;131;133;289;117;219;136;195;167;221;77,164.818181818,57.8160376961,Burton Hall,109
BURT 110A,2,false,false,'','',189;84;44;100;136;71;191;314;225;379;326,187.181818182,108.066324905,Burton Hall,110A
BURT 113A,3,false,false,'','',117;72;56;149;111;273;181;170;177;187;109,145.636363636,58.4578678541,Burton Hall,113A
BURT 119,3,false,false,'','',145;68;167;272;186;332;229;192;183;223;141,194.363636364,66.8761035284,Burton Hall,119
BURT 121A,3,false,false,'','',156;145;119;285;160;184;278;207;136,185.555555556,56.7198007972,Burton Hall,121A
BURT 121B,'',false,false,'','',341;185,263,78,Burton Hall,121B
BURT 122A,'',false,false,'','',300,300,0,Burton Hall,122A
BURT 123,1,false,false,'','',142;95;72;86;90;144;158;194;229;114,132.4,48.3160428843,Burton Hall,123
BURT 124,'',false,false,'','',172;131;158;104;195;236,166,42.6419199067,Burton Hall,124
BURT 125A,2,false,false,'','',217;228,222.5,5.5,Burton Hall,125A
BURT 126A,2,false,false,'','',488;181;345;265;272,310.2,102.974559965,Burton Hall,126A
BURT 129,1,false,false,'','',131;149;126;170;160;117,142.166666667,18.9685412079,Burton Hall,129
BURT 130A,3,false,false,'','',151;122;184;416;183;345;185;212;190;351;143,225.636363636,93.4201386964,Burton Hall,130A
BURT 131A,3,false,false,'','',364;190,277,87,Burton Hall,131A
BURT 205,1,false,false,'','',112;101;49;205;94;185;164;124;154;123;99,128.181818182,43.0788245425,Burton Hall,205
BURT 206,'',false,false,'','',97;61;129;110;69;39;111;137;124;87,96.4,30.4276190327,Burton Hall,206
BURT 208A,'',false,false,'','',141;144;175;265;163;100;110;206;130;192,162.6,46.8491195221,Burton Hall,208A
BURT 208B,3,false,false,'','',87,87,0,Burton Hall,208B
BURT 209A,2,false,false,'','',176;132;72;236;125;314;194,178.428571429,73.9495139419,Burton Hall,209A
BURT 210,'',false,false,'','',114;69;68;85,84,18.5876302954,Burton Hall,210
BURT 211,1,false,false,'','',69;42;97;185;59;142;96;172;142;107;62,106.636363636,45.7031383988,Burton Hall,211
