HOUSENAME ,SIZE,SUBFREE,QUIET,MENS,WOMENS
NASN 100A,Quint,,,,
HNTH 100C,Quint,,,,
CLWL 100B,Quint,,,,
SCOT 200C,Quad,,,,
HNTH 200A,Quint,,,,
EUGS 400B,Quad,,,,
COLR 200B,Quad,,,,
OWNS 300B,Quad,,,,
DOWH 200A,Sextet,,,,
COLR 300C,Quad,,,,
SCOT 100A,Quad,,,,
OWNS 100B,Quad,,,,
EUGS 100A,Quad,,,,
BURT 306,Single,,,,
EUGS 200A,Quint,,,,
DOWH 100B,Quad,,,,
BRKS 200B,Quad,,,,
BRKS 100A,Quad,,,,
SEVY 203B,Quad,,,,
COLR 100A,Quad,,,,
CLAD 100B,Quad,,,,
SEVY 303B,Quad,,,,
DIXN 200A,Sextet,,,,
JAME 305B,Quint,,,,
JAME 303A,Quad,,,,
JAME 202C,Quint,,,,
PAGW 200C,Quint,,,,
BURT 323,Single,,,,
JAME 005C,Quint,,,,
OWNS 200A,Quint,,,,
JAME 201C,Quad,,,,
JAME 103A,Quad,,,,
HENR 203,,,,,
JAME 301A,Quad,,,,
JAME 004B,Quint,,,,
HENR 202,,,,,
DAVI 314A,Quint,,,,
JAME 405B,Quint,,,,
HENR 109,,,,,
HILL 102,Triple,,,,
JAME 401B,Quad,,,,
DAVI 116A,Triple,,,,
HENR 13,,,,,
DAVI 304A,Quint,,,,
JAME 304A,Quad,,,,
JAME 101A,Quad,,,,
HILL 301,Quad,,,,
SEVY 212A,Double,,,,
HILL 103,Triple,,,,
HENR 204,,,,,
CASS 221,Double,,,,
DAVI 309,Double,,,,
SEVY 403B,Quad,,,,
JAME 403B,Quad,,,,
CASS 417,Single,,,,
HILL 101,Triple,,,,
HENR 206,,,,,
WILS 201,Single,,,,
CASS 301,Single,,,,
BURT 223,Single,,,,
CASS 218,Single,,,,
SEVY 208B,Quad,,,,
SEVY 306A,Quad,,,,
DAVI 204C,Quint,,,,
DAVI 214,Single,,,,
SEVY 214B,Quad,,,,
SEVY 304,Double,,,,
SEVY 307A,Triple,,,,
CASS 327,Single,,,,
BURT 228,Single,,,,
FACL 012A,Sextet,,,,
WILS 203,Single,,,,
NOUR 122,Triple,,,,
SEVY 309A,Quad,,,,
ALLE 206,Single,,,,
CASS 408,Single,,,,
CASS 203,Double,,,,
